REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
4/14/2016 8:58:01 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,1300 - 1399 BLOCK OF GOOD HOPE ROAD SE,6,607,8,8A,Cluster 28,007503 1,007503,Precinct 114,16057896,401207,133236,4/14/2016 6:39:14 PM,4/14/2016 8:57:56 PM
4/12/2016 8:13:13 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,4805 - 4904 BLOCK OF ALABAMA AVENUE SE,6,604,7,7F,Cluster 33,009907 2,009907,Precinct 103,16056624,405252,134987,4/12/2016 6:37:21 PM,
4/12/2016 11:12:33 PM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2300 - 3955 BLOCK OF EAST CAPITOL STREET,6,603,7,7F,Cluster 32,009604 1,009604,Precinct 132,16056646,403638.94,135772.42,4/12/2016 7:15:48 AM,4/12/2016 5:18:51 PM
4/20/2016 9:01:32 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,5000 - 5099 BLOCK OF C STREET SE,6,604,7,7E,Cluster 33,009904 2,009904,Precinct 104,16061458,406114,135259,4/19/2016 9:30:34 AM,4/20/2016 8:30:16 AM
4/14/2016 9:19:44 PM,EVENING,THEFT/OTHER,OTHERS,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,602,7,7C,Cluster 31,007804 1,007804,Precinct 98,16057945,405836,136773,4/14/2016 12:08:24 PM,4/14/2016 5:30:34 PM
4/14/2016 11:09:43 PM,MIDNIGHT,ROBBERY,GUN,3500 - 3899 BLOCK OF JAY STREET NE,6,601,7,7D,Cluster 30,009602 1,009602,Precinct 100,16057988,404579,137347,4/14/2016 9:50:30 PM,4/14/2016 9:56:47 PM
4/15/2016 1:04:42 AM,MIDNIGHT,ROBBERY,GUN,4900 - 4999 BLOCK OF C STREET SE,6,604,7,7E,Cluster 33,009904 1,009904,Precinct 104,16058017,405917,135293,4/14/2016 11:02:39 PM,4/15/2016 1:04:37 AM
4/22/2016 5:02:20 PM,EVENING,SEX ABUSE,OTHERS,5150 - 5199 BLOCK OF SOUTHERN AVENUE SE,6,604,7,7E,Cluster 33,,,Precinct 106,16062857,406322,134580,4/22/2016 7:12:03 AM,4/22/2016 7:15:18 AM
4/22/2016 12:50:31 PM,DAY,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF 17TH PLACE SE,6,607,8,8A,Cluster 34,007601 4,007601,Precinct 140,16062865,401745,133587,4/22/2016 11:37:10 AM,4/22/2016 12:06:43 PM
4/22/2016 1:49:10 PM,DAY,BURGLARY,OTHERS,4900 - 4998 BLOCK OF G STREET SE,6,604,7,7E,Cluster 33,007707 1,007707,Precinct 106,16062889,405863,134868,4/22/2016 8:15:00 AM,4/22/2016 11:00:02 AM
4/18/2016 9:18:12 PM,EVENING,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 55TH STREET NE,6,608,7,7C,Cluster 31,007807 2,007807,Precinct 95,16060476,406810,136900,4/18/2016 6:42:20 AM,4/18/2016 6:44:45 AM
4/18/2016 8:12:25 PM,EVENING,THEFT/OTHER,OTHERS,2300 - 2499 BLOCK OF Q STREET SE,6,607,8,8A,Cluster 34,007601 2,007601,Precinct 133,16060484,402424,133657,4/5/2016 2:32:06 PM,4/5/2016 2:34:15 PM
4/20/2016 1:00:51 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,2100 - 2199 BLOCK OF SUITLAND TERRACE SE,6,606,7,7B,Cluster 35,007603 1,007603,Precinct 110,16061559,404402,132787,4/19/2016 6:00:53 PM,4/20/2016 6:00:12 AM
4/20/2016 1:37:10 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,700 - 899 BLOCK OF RIDGE ROAD SE,6,605,7,7E,Cluster 32,009902 1,009902,Precinct 106,16061579,405013,134320,4/19/2016 12:15:18 PM,4/20/2016 1:30:05 PM
3/27/2016 2:47:41 AM,MIDNIGHT,ROBBERY,GUN,3600 - 3625 BLOCK OF SOUTHERN AVENUE SE,6,606,7,7B,Cluster 35,007603 3,007603,Precinct 110,16046839,403979,132242,3/27/2016 12:20:30 AM,3/27/2016 1:23:59 AM
