REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/28/2016 10:27:50 PM,EVENING,ROBBERY,OTHERS,2500 - 2531 BLOCK OF NORTH CAPITOL STREET,5,502,5,5E,Cluster 21,003301 1,003301,Precinct 135,16086058,399216,139448,5/28/2016 8:32:12 PM,5/28/2016 10:26:59 PM
5/29/2016 12:21:59 AM,MIDNIGHT,ROBBERY,KNIFE,1500 - 1519 BLOCK OF NORTH CAPITOL STREET,5,501,5,5E,Cluster 21,010600 2,010600,Precinct 19,16086100,399215,138016,5/28/2016 10:56:27 PM,5/28/2016 11:01:45 PM
5/29/2016 12:20:02 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1250 - 1299 BLOCK OF 4TH STREET NE,5,506,5,5D,Cluster 23,008803 1,008803,Precinct 76,16086118,400038,137846,5/28/2016 6:00:18 PM,5/28/2016 11:15:43 PM
5/29/2016 4:15:51 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF NEWTON STREET NE,5,504,5,5B,Cluster 22,009301 2,009301,Precinct 73,16086196,400873,140633,5/29/2016 1:01:14 AM,5/29/2016 2:01:31 AM
5/29/2016 9:46:08 AM,DAY,THEFT F/AUTO,OTHERS,200 - 272 BLOCK OF M STREET NW,5,501,6,6E,Cluster 8,004600 2,004600,Precinct 1,16086336,398748,137532,5/29/2016 3:00:22 AM,5/29/2016 8:38:49 AM
4/26/2016 8:44:01 AM,DAY,THEFT/OTHER,OTHERS,150 - 199 BLOCK OF V STREET NW,5,501,5,5E,Cluster 21,003301 3,003301,Precinct 135,16400781,398778,138915,4/14/2016 12:00:32 AM,4/16/2016 12:00:53 PM
5/9/2016 1:46:07 AM,MIDNIGHT,THEFT/OTHER,OTHERS,2855 3200  BLOCK OF BLADENSBURG ROAD NE,5,503,5,5C,Cluster 24,011100 1,011100,Precinct 71,16073277,403459,140142,5/9/2016 1:24:57 AM,5/9/2016 1:25:59 AM
5/21/2016 3:13:52 AM,MIDNIGHT,THEFT/OTHER,OTHERS,1230 - 1249 BLOCK OF NEW YORK AVENUE NE,5,505,5,5C,Cluster 22,008803 1,008803,Precinct 76,16080936,400995,138511,5/21/2016 2:09:33 AM,5/21/2016 2:15:49 AM
5/21/2016 4:10:15 AM,MIDNIGHT,THEFT/OTHER,OTHERS,300 399  BLOCK OF OKLAHOMA AVENUE NE,5,507,7,7D,Cluster 25,006804 1,006804,Precinct 80,16080963,402300,136365,5/21/2016 3:02:53 AM,5/21/2016 3:41:01 AM
5/21/2016 1:45:47 PM,DAY,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF 5TH STREET NE,5,506,5,5D,Cluster 23,008803 1,008803,Precinct 76,16081135,400212,137949,5/21/2016 1:10:26 PM,5/21/2016 1:40:47 PM
3/1/2016 12:33:59 PM,DAY,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,5,505,5,5C,Cluster 22,009102 2,009102,Precinct 72,16031530,400594,139371,3/1/2016 11:58:00 AM,3/1/2016 12:10:47 PM
3/18/2016 5:35:11 AM,MIDNIGHT,BURGLARY,OTHERS,1400 - 1499 BLOCK OF RHODE ISLAND AVENUE NE,5,504,5,5C,Cluster 22,009102 1,009102,Precinct 72,16041343,401329,139677,3/18/2016 1:58:08 AM,3/18/2016 2:15:18 AM
3/18/2016 4:56:21 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,1280 - 1699 BLOCK OF BLADENSBURG ROAD NE,5,505,5,5C,Cluster 23,008804 2,008804,Precinct 76,16041355,401970,137968,3/18/2016 4:05:44 AM,3/18/2016 4:54:18 AM
3/19/2016 8:18:49 AM,DAY,THEFT/OTHER,OTHERS,812 - 899 BLOCK OF BLADENSBURG ROAD NE,5,507,5,5D,Cluster 23,008802 2,008802,Precinct 77,16041552,401508,137047,3/18/2016 1:12:34 PM,3/18/2016 1:50:47 PM
3/18/2016 2:06:02 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,1900 - 1999 BLOCK OF GALLAUDET STREET NE,5,505,5,5D,Cluster 23,008803 1,008803,Precinct 76,16041566,401246,138403,3/18/2016 6:00:40 AM,3/18/2016 10:00:25 AM
3/18/2016 5:18:15 PM,EVENING,THEFT/OTHER,OTHERS,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,5,502,5,5E,Cluster 21,009204 2,009204,Precinct 74,16041630,400246,139229,3/18/2016 3:30:37 PM,3/18/2016 3:35:09 PM
3/31/2016 7:51:56 PM,EVENING,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF RHODE ISLAND AVENUE NW,5,501,5,5E,Cluster 21,003302 1,003302,Precinct 19,16049512,399081,138710,3/31/2016 5:00:29 PM,3/31/2016 6:45:48 PM
3/31/2016 8:06:46 PM,EVENING,THEFT F/AUTO,OTHERS,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,5,505,5,5D,Cluster 23,008803 1,008803,Precinct 76,16049532,401728,138813,3/31/2016 5:00:12 PM,3/31/2016 7:00:43 PM
3/31/2016 10:26:07 PM,EVENING,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF Q STREET NE,5,502,5,5E,Cluster 21,008701 1,008701,Precinct 75,16049585,399323,138138,3/31/2016 7:00:04 AM,3/31/2016 10:12:27 PM
4/17/2016 1:25:00 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1201 - 1278 BLOCK OF BLADENSBURG ROAD NE,5,506,5,5D,Cluster 23,008804 2,008804,Precinct 78,16059437,401783,137594,4/17/2016 12:35:46 AM,4/17/2016 1:15:01 AM
