REPORT_DAT,PSA
24/4/13 17:43,102
24/4/13 16:20,105
24/4/13 15:05,107
24/4/13 8:05,102
23/4/13 21:38,102
23/4/13 20:08,102
23/4/13 15:19,102
23/4/13 13:32,105
23/4/13 10:52,104
23/4/13 10:14,107
23/4/13 9:49,102
22/4/13 22:19,102
22/4/13 19:47,101
22/4/13 19:11,101
22/4/13 17:06,102
22/4/13 16:42,106
22/4/13 12:45,103
22/4/13 10:00,105
21/4/13 18:00,107
21/4/13 14:08,108
21/4/13 12:24,102
21/4/13 10:25,105
21/4/13 8:18,104
21/4/13 1:26,101
21/4/13 1:21,104
20/4/13 21:57,102
20/4/13 21:04,107
20/4/13 20:47,105
20/4/13 19:34,101
20/4/13 18:40,102
20/4/13 16:43,102
20/4/13 16:38,107
20/4/13 14:00,101
20/4/13 11:00,107
20/4/13 8:13,103
19/4/13 14:28,107
19/4/13 13:22,104
19/4/13 9:39,102
18/4/13 22:01,104
18/4/13 20:49,102
18/4/13 16:11,106
18/4/13 16:00,107
18/4/13 12:04,101
17/4/13 21:20,102
17/4/13 18:30,101
17/4/13 12:40,105
17/4/13 11:14,101
16/4/13 19:15,101
16/4/13 16:13,106
16/4/13 16:11,107
16/4/13 14:24,107
16/4/13 13:19,105
15/4/13 21:14,101
15/4/13 20:30,101
15/4/13 17:45,108
15/4/13 16:35,102
15/4/13 16:30,107
15/4/13 12:47,101
15/4/13 10:57,107
14/4/13 22:06,108
14/4/13 20:16,106
14/4/13 19:25,102
14/4/13 17:44,107
14/4/13 16:35,108
14/4/13 16:20,102
14/4/13 16:06,108
14/4/13 15:17,105
13/4/13 19:21,104
13/4/13 16:15,108
13/4/13 14:29,108
13/4/13 14:00,107
12/4/13 23:46,102
12/4/13 18:08,107
12/4/13 17:48,107
12/4/13 13:51,107
11/4/13 20:00,102
11/4/13 18:45,107
11/4/13 17:19,101
11/4/13 14:00,103
11/4/13 9:45,101
11/4/13 1:55,105
10/4/13 23:33,101
10/4/13 21:59,101
10/4/13 20:30,108
10/4/13 17:50,102
10/4/13 17:06,107
10/4/13 16:30,101
10/4/13 15:56,104
9/4/13 17:19,101
9/4/13 16:15,103
9/4/13 10:38,102
9/4/13 0:39,102
8/4/13 16:45,106
8/4/13 16:22,102
8/4/13 15:50,102
8/4/13 15:19,108
8/4/13 12:00,101
8/4/13 10:53,102
8/4/13 10:30,102
8/4/13 10:10,101
8/4/13 9:42,102
7/4/13 20:00,101
7/4/13 19:14,102
7/4/13 18:30,101
7/4/13 17:45,102
7/4/13 14:33,102
7/4/13 9:06,107
7/4/13 0:53,108
6/4/13 23:58,102
6/4/13 21:00,102
6/4/13 20:42,104
6/4/13 18:10,101
6/4/13 17:15,102
6/4/13 15:08,102
6/4/13 9:35,103
5/4/13 23:04,101
5/4/13 22:07,107
5/4/13 22:00,102
5/4/13 18:37,102
5/4/13 18:37,102
5/4/13 16:45,101
5/4/13 7:58,104
5/4/13 0:12,108
4/4/13 22:13,107
4/4/13 12:49,106
4/4/13 12:33,108
