REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
1452480,107,6,25,8302, 85,16117866,400437,136259,1448700,1450800
1452420,103,6,0,6202, 130,16117860,399272,136594,1449480,1450740
1451880,101,2,8,5800, 129,16117695,397745,136759,1427460,1431000
1450740,101,2,8,5800, 129,16117851,397654,136665,1447200,1447800
1449720,103,6,0,6202, 130,16117832,399272,136594,1416600,1449720
1444560,108,6,26,6900, 91,16117811,401257,135070,1442400,1442700
1440840,108,6,26,6801, 80,16117224,401973,135587,1335600,1337400
1423800,107,6,26,6900, 91,16117636,400846,134967,1420440,1420500
1423620,107,6,26,7000, 90,16117621,400383,134987,1418700,1423620
1420860,107,6,25,8100, 85,16117611,400846,136259,1416240,1416360
1388400,105,6,9,6400, 127,16117398,399075,134190,1378380,1385400
1372440,106,6,27,7200, 131,16117241,399592,134459,1359240,
1370220,102,6,8,4702, 18,16117066,398186,137185,1327500,1346400
1368780,101,2,8,5800, 129,16117272,397609,136611,1364340,1368600
1367580,103,6,8,4702, 1,16117264,399078,136928,1364820,1365000
1364880,101,2,8,10100, 129,16117118,397497,137053,1340100,1341000
1359960,102,2,8,5900, 143,16117170,398508,136963,1355400,1356300
1359900,103,6,8,4702, 1,16117171,398746,137184,1356600,1356900
1358460,107,6,26,8200, 89,16117073,399886,136018,1349040,1351560
1356000,102,2,8,5900, 143,16117093,398508,136963,874800,885600
1350300,104,6,25,8302, 83,16116879,400332,136856,997200,1083600
1344300,106,6,27,7200, 131,16116964,399919,134410,1328400,1344240
1338060,104,6,25,8402, 82,16401416,400541,136696,1119600,1152000
1332240,104,6,25,8302, 84,16401415,400436,136696,1026000,1036800
1311600,107,6,26,7000, 89,16116808,400359,135189,1304520,1311600
1302120,104,6,25,8301, 83,16116685,399996,136928,1283400,1287300
1299120,107,6,26,7000, 90,16116703,400435,134906,1263600,1278000
1292700,108,6,26,6802, 87,16116695,401892,135229,1245600,1291080
1283880,104,6,25,8302, 83,16116657,400233,136927,1273320,
1282080,108,6,26,6900, 91,16116638,401157,134825,1281240,
1281300,104,6,25,8402, 82,16116528,401135,136927,1268760,1274280
1279380,102,2,8,5800, 143,16116601,398008,136402,1269900,1277100
1276680,104,6,25,8302, 83,16116547,400384,136927,1273500,1276680
1276200,103,6,8,4702, 1,16116557,399078,136928,1272600,1272900
1268520,102,2,8,5800, 143,16116416,398008,136402,1200900,1201200
1265160,102,2,8,5800, 143,16116410,398008,136402,1095000,1095600
1264860,105,6,9,6400, 127,16116396,398943,133997,1258740,1263840
1263720,103,5,21,4600, 19,16115939,399214.79,137753.75,1186980,1189980
1261920,106,6,27,7200, 131,16116386,399622,134352,1257000,1257840
1260120,101,2,8,5800, 129,16116332,397497,136718,1094400,1094520
1259880,101,2,8,5800, 129,16116355,397700,136611,1251540,1259040
1257180,106,6,26,7100, 91,16401411,400846,134715,1855800,1881000
1254180,103,6,8,4702, 1,16116319,399078,136928,1249200,1250100
1244580,104,6,25,8301, 83,16116241,399996,136928,1205040,1229400
1240680,102,2,8,5800, 143,16401405,398008,136402,752400,929700
1237080,104,6,25,10600, 83,16116210,399950,137425,1234740,1241520
1225200,103,2,8,5900, 143,16116190,398651,136899,1024080,1024500
1211520,104,6,25,8302, 83,16119034,400233,136927,1154460,1155600
1211160,101,2,8,5800, 129,16116133,397745,136664,1186200,1211160
1207440,102,2,8,5800, 129,16116106,398098,136808,1205760,1207440
1199760,101,2,8,5800, 129,16116041,397497,136718,1197240,1197360
1198560,107,6,25,8100, 85,16116033,400541,136259,1185060,1185300
1194360,107,6,26,6700, 89,16115986,400541,135441,1191900,1192260
1192920,104,6,25,8402, 82,16115951,400686,136927,1182600,1188000
1181340,104,6,25,8402, 82,16115824,400790,136927,1176960,
1174020,102,6,8,4701, 1,16115748,398477,137319,1102800,1103400
1169280,102,2,8,5800, 129,16115630,398185,136610,1159740,1162140
1167000,106,6,9,6400, 127,16115677,399211,133853,1160100,1163700
1161780,102,2,8,5800, 129,16115634,398099,136943,1157400,1161600
1160940,105,6,9,10200, 142,16115617,398002,134827,1112400,1148400
1157040,103,6,25,10600, 83,16113257,399612,137531,790740,790920
1151160,108,6,26,6801, 87,16401385,401480,135648,518400,524700
1131060,104,6,25,10600, 83,16115498,400437,136990,1116000,1127100
1126980,108,6,25,8001, 81,16115488,401135,136474,1126020,1126140
1124040,107,6,26,6900, 91,16115456,400846,135070,1108800,1116000
1123020,105,6,9,10200, 128,16115419,398680,134351,867600,871200
1115040,101,2,8,5800, 129,16115296,397429,136542,1098000,1098600
1114800,106,6,26,7100, 91,16115358,401336,134409,694800,1112400
1112280,104,6,25,8302, 83,16115342,400233,136927,1103640,1104000
1111920,107,6,25,8100, 85,16115572,400489,136425,852660,1025520
1111680,104,6,25,8302, 83,16115324,400233,136927,1101660,1102500
1109520,104,6,25,8301, 84,16115266,400134,136740,1081200,1089000
1108860,104,6,25,8302, 84,16115361,400332,136653,1085100,1085220
1108560,105,6,9,10200, 142,16115359,398469,134448,1106400,1108320
1105020,103,6,25,10600, 83,16115310,399589,137184,1042200,1105020
1102620,106,6,27,7200, 131,16115274,400436,134449,1098000,1101000
1100220,101,2,0,6202, 129,16112393,397393,136027,677640,678000
1098960,103,6,25,10600, 83,16115241,399489,137478,1092300,1092600
1088160,104,6,25,8402, 82,16115066,400790,136927,1077240,1077300
1087980,105,6,9,10200, 142,16115110,398469,134448,1084800,1087020
1087860,101,2,8,5800, 129,16115105,397497,136718,1083600,1084500
1084740,105,6,9,11000, 127,16115085,398556,134091,1011600,1080000
1081620,106,6,26,7100, 91,16115068,401418,134462,1000800,1002600
1081080,108,6,26,6802, 87,16115033,401892,135229,994800,997200
1076460,108,6,26,6804, 87,16114952,401897,135000,1057800,1065480
1075320,108,6,26,6801, 87,16115008,401542,135587,1035000,1067400
1062120,103,6,8,4701, 1,16111398,398887,137533,550800,557100
1052460,101,2,8,5800, 129,16114922,397745,136842,1050420,1052460
1038420,104,6,25,8302, 84,16114866,400233,136400,979200,1006200
1038180,105,6,9,11000, 127,16114863,398373,134292,1017360,1022400
1031280,101,2,8,5800, 129,16114761,397920,136943,1016100,1020600
1029900,102,2,8,5800, 129,16114752,397921,136842,1022340,1029660
1028340,105,6,9,10200, 142,16114650,398469,134448,1010400,1011600
1028280,103,6,8,5900, 130,16114776,399214,136542,1025820,1028280
1026660,104,6,25,10600, 83,16114732,399823,137147,864000,1022220
1026480,104,6,25,8301, 84,16114709,400134,136740,1017060,1020540
1026300,104,6,25,8302, 83,16114766,400384,136927,1004400,1022400
1020180,107,6,26,6900, 90,16114696,400686,135140,1015800,1016100
1010820,104,6,25,8302, 84,16114588,400384,136609,374400,1010820
1009260,106,6,27,7200, 131,16114570,400041,134352,823500,824400
1004880,103,6,8,4702, 1,16114497,399078,136928,1000800,1003080
1004520,104,6,25,8302, 84,16401380,400384,136474,563100,579600
1002120,106,6,27,7200, 131,16114482,399385,134294,657000,1001820
1001340,104,6,25,8302, 84,16401373,400332,136575,635400,675000
1001040,104,6,25,8410, 82,16114370,400930,136989,943200,981600
992940,104,6,25,8302, 84,16401374,400233,136400,594000,633600
989940,107,6,26,8100, 85,16114343,400489,135959,932400,981000
989400,105,6,9,10200, 142,16401371,397394,135525,1684800,1692000
988020,107,6,26,8100, 85,16114341,400489,136018,982800,982860
985140,107,6,25,8402, 82,16114352,400790,136582,752400,980100
980040,106,6,27,7200, 131,16114313,399622,134352,657000,973800
970440,103,6,8,4702, 1,16114294,398746,137184,961800,962100
961440,104,6,25,8410, 83,16114264,400489,137052,957240,957600
960120,104,6,25,8301, 84,16114198,400088,136784,938700,943200
952680,101,2,8,10100, 129,16114227,397610,137008,946800,952200
950760,105,6,9,10200, 142,16114211,398469,134448,948600,948900
950520,103,2,8,5900, 143,16114192,398683,136542,945900,946200
948540,106,6,27,7200, 131,16114183,399822,134459,930600,941880
944460,101,2,8,10100, 129,16114149,397829,137265,938940,939060
938340,104,6,25,10600, 83,16114098,399886,137184,934740,937380
937800,104,6,23,8410, 82,16114083,400687,137300,933780,935760
936000,107,6,26,6900, 91,16114062,400846,135070,929400,933240
927660,105,6,9,10200, 142,16114000,398333,135475,913500,918000
923400,108,6,26,7100, 91,16113986,401506,134591,921780,922800
921240,105,6,9,10200, 142,16113971,398273,134557,908100,914700
912660,102,2,8,5800, 143,16113907,398053,136327,868200,912660
910020,104,6,25,10600, 83,16113877,400088,137052,906300,906420
909480,104,6,25,8301, 84,16113882,399950,136696,907200,909480
892620,101,2,0,6202, 129,16113807,397496,136376,885240,885360
892140,104,6,25,10600, 83,16113805,400332,136990,888300,892140
884100,107,6,26,6600, 89,16113776,400330,135430,878400,879000
863400,101,2,8,10100, 129,16113639,397497,136959,855300,855900
857340,106,6,9,7200, 128,16113585,399210.55,134299.54,850200,852480
855840,105,6,9,6400, 127,16113520,398921,134092,831600,838800
853740,108,6,26,8002, 86,16113384,401257,135928,799140,827400
852060,104,6,25,8410, 82,16113407,400846,137116,766800,829620
843720,101,2,8,5800, 129,16113493,397700,136611,840660,840840
842700,104,6,25,8301, 83,16113486,399886,136928,833400,837000
841560,101,2,8,5800, 129,16113441,397834,136610,831900,832500
836400,101,2,8,5800, 129,16113434,397835,136718,799200,833400
836100,104,6,25,10600, 83,16112944,399756,137052,756960,762120
835500,104,6,25,8402, 82,16112343,401097,136784,671940,676320
830940,101,2,8,5800, 129,16113391,397497,136718,824400,827100
823740,108,6,26,6801, 87,16113328,401745,135773,818400,819300
820620,103,6,8,4702, 1,16113317,399078,136928,818040,
819000,105,6,9,10500, 128,16113276,399075,134459,723600,734400
818220,104,6,25,8301, 83,16113293,399996,136928,809400,816600
813240,104,6,25,10600, 83,16113262,400134,137118,811560,813180
797520,107,6,25,8302, 85,16113209,400437,136362,793200,793800
785160,105,6,0,10200, 142,16113081,398185,135525,774900,777960
779100,102,2,8,5800, 129,16113037,398054,136733,763680,772560
771480,107,6,26,6500, 89,16113026,400232,135255,768720,768840
769500,104,6,25,10600, 83,16113002,399918,137318,764040,765000
769380,101,2,8,5800, 129,16113019,397227,136665,766500,767100
766260,103,6,0,6202, 130,16112989,399272,136594,762540,766200
765960,105,6,9,10200, 142,16112925,397474,135152,753900,757020
760620,104,6,25,10600, 83,16112692,399950,136990,728460,732000
755940,107,6,25,8002, 86,16112912,400889,136192,723600,752400
754200,107,6,26,6600, 89,16112881,400231,135453,666000,752400
750360,107,6,25,8100, 85,16112854,400790,136106,739800,746100
749340,102,2,8,5900, 143,16112842,398508,136963,747000,747300
745560,102,2,8,5800, 129,16112780,398099,136943,741000,
744660,107,6,26,8200, 85,16401360,400436,135836,172800,208800
743880,104,6,25,10600, 83,16401359,399559,136520,216000,244800
742980,106,6,26,6500, 130,16401352,399489,135009,2477700,2478600
742140,103,6,25,10600, 83,16112702,399351,137425,225000,714600
731520,106,6,26,7100, 91,16112686,401014,134551,729600,729900
731460,106,6,27,7200, 131,16112661,399489,134459,571800,720000
729600,107,6,26,6700, 89,16112663,400489,135354,685800,722700
712200,102,2,8,5800, 129,16112596,398273,137035,709020,711540
707940,103,6,8,4702, 1,16112591,398640,137185,705600,705900
684720,101,2,8,10100, 129,16112447,397228,137253,573300,675000
682620,101,2,8,5800, 129,16112427,397700,136611,662400,669600
679080,106,6,26,7100, 91,16112336,401061,134619,645300,672000
678000,107,6,26,6500, 89,16112388,399822,135412,674100,674400
676980,107,6,25,8302, 84,16112356,400212,136281,642600,671400
675720,102,2,8,5900, 143,16112370,398508,136963,2203200,675780
673560,106,6,26,7100, 91,16112340,401147,134664,666000,669000
665040,101,2,8,5800, 129,16112235,397430,136664,662940,663000
659100,104,6,25,8302, 84,16401358,400233,136541,612000,628200
655980,106,6,26,7100, 91,16401356,401337,134507,546600,582600
653760,104,6,25,8402, 82,16401355,400930,136855,1803600,1803900
652740,106,6,27,7200, 131,16401345,399888,134117,477000,540000
652500,104,6,25,8301, 84,16112060,399950,136400,641460,
652140,107,6,26,6700, 89,16112110,400541,135441,649800,
649440,101,2,8,5800, 129,16112071,397227,136665,645480,649440
643980,103,6,25,10600, 83,16401346,399489,137478,311400,312300
639300,102,2,8,5800, 129,16111984,398185,136884,571200,629100
634320,103,6,25,10600, 83,16111963,399351,137425,570600,625800
632880,108,6,26,6802, 91,16111956,401668,134968,545400,583200
628500,103,6,8,5900, 130,16111499,399214,136542,565500,566100
594240,101,2,8,5800, 129,16111774,397654,136801,541800,582300
591960,102,2,8,5800, 129,16111714,398099,136943,587220,588240
590640,106,6,27,7200, 131,16111719,399489,134556,550800,585000
590460,104,6,25,8301, 84,16111729,399950,136400,2032200,2048400
589140,107,6,25,8100, 85,16111721,400638,136400,226800,464400
586620,104,6,25,10600, 83,16111693,400233,137052,582000,
585900,107,6,25,8302, 85,16111663,400332,136259,580380,580980
580260,101,2,8,5800, 129,16111605,397831,137105,552600,576000
577380,106,6,27,7200, 131,16111573,399622,134352,574080,574140
577260,106,6,27,7200, 131,16111568,399743,134556,540000,571200
571560,104,6,25,10600, 83,16401341,400233,137319,511260,517800
567960,108,6,25,8001, 81,16111445,401092,136609,547200,567840
554220,104,6,25,8302, 83,16111355,400384,136927,549600,554160
548280,104,6,25,8402, 82,16111321,400930,136855,541020,548220
546960,103,6,8,4702, 1,16111316,399078,136928,542700,545640
545880,102,2,8,5900, 143,16110803,398508,136963,476940,477300
529560,108,7,26,6804, 80,16111276,402061,135138,517200,518100
525360,102,2,8,5900, 143,16111201,398477,136476,510480,510600
513900,107,6,26,7000, 90,16111197,400436,135043,512040,512460
501540,106,6,9,6400, 127,16108558,399211,133853,223200,257700
500340,105,6,9,10200, 142,16111060,398476,134716,322800,323100
500100,104,6,25,10600, 83,16111057,400042,136990,396000,460800
499680,101,2,8,5800, 129,16111026,397497,136718,493740,494100
492540,108,6,26,6900, 87,16110820,401337,135279,475800,478800
489720,101,2,8,5800, 129,16110879,397430,136664,477600,477900
488280,106,6,27,7200, 131,16110854,399385,134294,223200,459000
487560,104,6,25,10600, 83,16401330,399855,137319,2669700,115500
486420,103,6,8,4702, 1,16110845,399078,136928,479640,484740
486180,107,6,25,8100, 85,16401329,400638,136400,1812600,1846800
484740,101,2,8,5800, 129,16110829,397700,136611,478020,478200
484620,102,6,8,4702, 18,16110768,398186,137185,470880,475380
483540,107,6,26,7000, 90,16110830,400331,135045,2384100,2384280
482220,102,2,8,5800, 129,16110652,398186,137106,136800,457200
481140,107,6,26,6500, 89,16110754,400232,135255,414000,469200
476400,106,6,27,7200, 131,16110751,399622,134352,471720,475020
474480,106,6,26,7100, 91,16110745,401138,134783,470400,472200
473400,106,6,27,7200, 131,16110654,399385,134294,112800,456300
471660,104,6,25,10600, 83,16401328,399886,137184,2379600,2397600
469980,105,6,9,11000, 127,16110711,398476,134023,417600,467100
462900,106,6,27,7200, 131,16110651,399622,134352,243000,451800
462060,101,2,8,10100, 129,16110649,397430,137253,114480,451800
448080,101,2,8,5800, 129,16110473,397831,137105,222240,426600
442620,102,2,8,5800, 129,16110482,398098,136808,427500,430200
438180,102,2,8,5800, 129,16110390,398272,136943,412800,418200
431400,102,2,8,5800, 129,16110485,397965,136884,417600,431400
429660,103,6,8,4702, 1,16110459,399213,137056,403200,424800
419280,106,6,9,6400, 127,16109643,399211,133853,302400,310500
414240,104,6,25,10600, 83,16110232,399950,137251,408300,
412920,104,6,25,10600, 83,16110250,400233,137456,232200,401400
407400,104,6,25,8302, 83,16110231,400233,136927,398040,402720
405900,107,6,26,6500, 89,16110276,400232,135255,403800,404400
405000,104,6,25,8301, 83,16110267,399996,136928,398160,405000
399780,101,2,8,5800, 129,16110217,397700,136999,391800,392400
393300,103,6,8,4702, 1,16110167,399078,136928,390960,
387840,106,6,27,7200, 131,16110095,399949,134556,375120,378720
387720,103,6,8,4702, 1,16110125,399078,136928,384840,387660
378300,103,6,8,4702, 1,16110087,399078,136928,368760,
364320,104,6,25,10600, 83,16110044,399996,137184,358800,359400
352140,104,6,25,8402, 82,16109980,400686,136927,348840,349200
325920,104,6,25,8410, 83,16109719,400489,137258,2318400,309600
308640,105,6,9,10500, 128,16109606,399075,134351,234000,241200
303480,107,6,26,7000, 90,16109539,400435,134906,244800,245460
300180,102,6,8,4702, 18,16109515,398186,137185,292920,298080
298740,107,6,25,8100, 85,16109526,400846,136362,122400,129600
270660,104,6,25,8410, 82,16109363,400930,137051,264780,266100
261780,105,6,9,6400, 127,16109277,399009,133903,254640,255000
254280,102,2,8,5900, 143,16109233,398508,136963,250980,251280
252540,102,2,8,5800, 129,16109221,398098,136808,250020,252540
252180,104,6,25,8402, 82,16109203,400790,136927,246000,257640
250920,104,6,25,8410, 82,16109084,401014,136958,235800,239400
247860,102,2,8,5800, 143,16109160,398008,136402,243060,246840
247080,105,6,9,10200, 142,16109134,398247,134720,237780,243360
244920,106,6,27,7200, 131,16109154,399353,134459,243000,243300
242160,106,6,27,7200, 131,16109106,399489,133849,147600,237600
241560,107,6,26,7000, 90,16109107,400383,135101,238440,241560
240420,101,2,8,5800, 129,16109097,397834,136610,229200,234900
238620,108,6,25,8002, 86,16108940,401173,136105,224460,225780
236880,102,2,8,5800, 129,16109030,398186,137001,207900,231900
227280,102,2,8,5800, 129,16108948,397920,136943,172800,183600
224160,107,6,26,8100, 85,16108916,400637,135960,2667600,216000
224160,102,2,8,5800, 129,16108905,398185,136884,219600,220500
219000,108,6,26,6802, 87,16108870,401892,135229,216900,217380
217260,101,2,8,5800, 129,16108849,397496,136885,213420,214620
206220,102,6,8,4701, 1,16108768,398508,137407,196140,206220
204600,102,2,8,5800, 129,16107476,398099,136943,2639520,2643000
202980,108,6,25,8402, 82,16108762,401097,136742,144000,199800
171000,106,6,27,7200, 131,16108536,399823,134352,154800,167400
159960,107,6,26,7100, 91,16108433,400930,134891,122400,156600
156840,104,6,25,8410, 82,16108372,400930,137051,135000,150000
155640,104,6,25,8302, 83,16108361,400233,136927,149220,155640
151500,105,6,9,10200, 128,16108334,398534,134605,109800,149400
150600,101,2,8,5800, 129,16108329,397654,136665,144480,144600
149820,107,6,26,7000, 90,16108319,400436,135043,126000,128700
148620,107,6,26,6500, 89,16108285,400232,135255,117000,117300
145320,102,2,8,5800, 129,16108214,398098,136808,136800,137400
141300,103,6,8,5900, 1,16108220,398944,136542,127200,133500
138180,104,6,25,8410, 83,16108134,400541,137279,115200,130080
137400,105,6,0,10200, 142,16108165,398185,135525,128700,133800
136560,105,6,9,11000, 127,16108171,398476,134023,135360,
120120,104,6,25,10600, 83,16401322,399823,136990,2558400,2569500
118740,104,6,25,10600, 83,16108009,399823,137425,2656800,117900
118200,101,2,8,5800, 129,16108010,397228,136778,116340,
117960,101,2,8,10100, 129,16108004,397430,137253,2638800,104400
98580,104,6,25,10600, 83,16107904,399823,137081,2673900,2674500
93420,107,6,25,8302, 85,16107930,400437,136362,91980,92040
91560,102,2,8,5800, 129,16107901,397919,136402,2677680,88260
2671920,103,6,0,6202, 130,16107834,399272,136594,410400,554400
2665920,107,6,25,8302, 85,16107761,400437,136259,2659740,2659860
2663940,102,2,8,5800, 129,16107743,397963,136595,2655600,2656800
2661780,101,2,8,5800, 129,16107730,397700,136611,2659500,2660280
2659620,107,6,26,6500, 89,16107694,400232,135255,2657460,2657700
2657700,104,6,25,8302, 83,16107551,400233,136927,2647380,2649480
2656080,104,6,25,10600, 83,16107595,400134,137356,2597400,2613600
2652660,107,6,26,7000, 90,16107602,400436,135043,2648640,2649300
2649600,104,6,25,8301, 84,16401315,400088,136609,2470500,2481300
2647740,106,6,26,7000, 90,16107514,400234,134688,2643300,2643600
2645700,104,6,25,10600, 83,16107504,399950,136990,2635200,2640000
2645280,104,6,25,8302, 84,16401307,400233,136697,2376000,2376600
2644740,103,6,8,4702, 1,16107474,399078,136928,2638800,2640600
2644680,104,6,25,8402, 82,16401306,400930,136855,2545500,2546880
2643600,105,6,9,11000, 127,16107487,398476,134023,2641560,
2643240,101,2,8,5800, 129,16107362,397563,136664,2626200,2626500
2642700,104,6,25,10600, 83,16107428,400233,137393,2634180,
2641680,104,6,25,8402, 82,16107458,400489,136927,2638800,2639400
2639700,101,2,8,5800, 129,16107431,397228,136778,2634420,2638860
2639220,104,6,25,8301, 84,16401297,399886,136326,2257200,2273400
2637840,108,6,26,6802, 87,16107401,401605,135279,2630400,2630700
2637720,107,6,26,7000, 90,16107430,400686,135019,2635320,2637720
2635680,107,6,26,6600, 89,16401303,400436,135441,2365200,2538900
2635560,103,6,8,4702, 1,16107402,399078,136928,2631900,
2632800,102,2,8,5800, 143,16401301,398357,136542,907200,916200
2627400,108,6,25,8001, 81,16401291,401378,136326,2300400,2301300
2625600,107,6,26,8200, 130,16107325,399758,135899,2538000,2625600
2596620,104,6,25,8410, 82,16107212,400734,137117,2545200,2593800
2579880,102,6,8,4701, 1,16107057,398508,137407,1378800,2491200
2575200,102,2,8,5900, 143,16106961,398508,136963,2569620,2575260
2574900,104,6,25,8301, 84,16106994,399950,136400,2532600,2572200
2573580,105,6,9,10200, 142,16106846,398469,134448,2533500,2533800
2567880,104,6,25,8302, 84,16106858,400436,136696,2484000,2556000
2563080,101,2,8,5800, 129,16106859,397328,136611,2559000,2559600
2560020,102,2,8,5800, 129,16106805,398098,136808,2553360,2555700
2558880,108,6,26,6700, 88,16106816,401135,135773,2554200,2556000
2558040,104,6,25,8402, 82,16106749,400589,136927,2545860,2556000
2555160,104,6,25,10600, 83,16106793,399823,137425,1857600,1929600
2554560,108,6,25,8001, 81,16105708,401257,136696,2395800,2397600
2553600,103,6,8,4702, 1,16106776,399078,136928,2548260,
2550420,106,6,27,7200, 131,16106752,399622,134352,2544600,2547000
2548200,107,6,26,6500, 130,16106734,399760,134918,2541000,2548200
2542800,102,2,8,5800, 143,16106697,398315,136884,2448900,2542740
2535180,104,6,25,8410, 83,16106005,400489,137052,2403000,2450700
2527380,105,6,9,10200, 142,16105463,398185,135418,2372340,2375280
2503680,106,6,27,7200, 131,16106526,399981,134606,2498100,2498280
2499360,102,6,8,4702, 1,16106474,398413,137185,2481300,2493600
2497080,104,6,25,10600, 83,16106307,399886,137052,2479920,2480700
2495580,102,2,8,5900, 143,16106444,398508,136963,2490300,2490540
2493780,102,2,8,5800, 129,16106228,398273,136801,2472300,2475600
2490600,102,2,8,5900, 143,16106398,398319,136303,2479860,2480100
2490060,103,6,25,10600, 83,16106325,399489,137252,2481900,2490060
2487960,105,6,9,11000, 127,16106393,398476,134192,2416800,2417400
2483340,101,2,8,5800, 129,16106329,397563,136664,2399400,2403000
2481720,105,6,9,6400, 127,16106250,399076,133996,2473500,2473800
2480820,101,2,8,5800, 129,16106283,397654,136665,2390400,2390460
2479440,101,2,8,5800, 129,16106281,397654,136665,2123760,2123880
2479380,104,6,25,10600, 83,16106277,399886,137184,2477100,2479320
2474760,106,6,9,6400, 127,16401267,399211,133853,1533600,1534200
2472540,105,6,9,6400, 127,16106168,399076,133996,2465940,
2468760,105,6,26,10500, 128,16401259,399213,135077,1166160,1166340
2468100,101,2,8,5800, 129,16106115,397228,136778,2459160,2459280
2465100,104,6,25,8301, 84,16106092,399759,136609,2458200,2458800
2462940,103,6,8,4702, 1,16106010,399213,137056,2448240,2448420
2459340,104,6,25,8402, 82,16401277,401097,136784,1875600,2062800
2453340,104,6,25,8302, 84,16401255,400384,136474,1616400,1974900
2452980,107,6,25,8302, 84,16105995,400212,136281,1933200,2394000
2449860,108,6,26,6900, 91,16401253,401418,135070,1986000,2012400
2449260,107,6,26,6600, 89,16105982,400330,135430,2448060,2448840
2415480,101,2,8,10100, 129,16105852,397497,137320,2411100,2411280
2413920,102,6,8,4702, 18,16105811,398186,137185,2407740,2407920
2412600,105,6,9,10200, 142,16105824,397868.29,135116.46,2216760,2216880
2410680,103,6,8,5900, 130,16105747,399214,136542,2398500,2399700
2409840,107,6,26,7000, 90,16105808,400435,134906,1548900,1550100
2406780,102,6,8,4701, 1,16105746,398477,137319,1530000,2403000
2404200,106,6,27,7200, 131,16105765,399953,134056,2062800,2399400
2403780,106,6,27,7200, 131,16105680,400383,134294,2365200,2390400
2401920,102,2,8,5800, 129,16105699,398054,137002,2394900,2396700
2401800,101,2,8,5800, 129,16105728,397700,136611,2398200,2398380
2397660,101,2,8,5800, 129,16105673,397497,136718,2386980,2390100
2392500,106,6,27,7200, 131,16105625,399995,134294,2347200,2368800
2390940,101,2,8,10100, 129,16105603,397228,137253,2384400,2385600
2388960,102,2,8,5800, 143,16105593,398098,136401,2282400,2286000
2384640,104,6,25,10600, 83,16105535,399996,137184,2370600,2376300
2384160,104,6,25,10600, 83,16104289,400233,137393,2048400,2202000
2380500,102,6,8,4702, 18,16105424,398186,137185,2369640,2373900
2376720,101,2,8,5800, 129,16105434,397609,136611,2368920,2369340
2375580,107,6,26,6900, 91,16105462,400846,134967,2361420,2361900
2369040,108,6,26,6900, 91,16105382,401090,135279,2364360,2369040
2352900,103,6,8,5900, 1,16105323,398815,136650,2334480,2334540
2344500,104,6,25,8402, 82,16105313,401135,136927,2339400,2339700
2337480,105,6,9,7200, 128,16105274,399210.55,134299.54,2334780,2335020
2334120,107,6,26,6700, 89,16105249,400489,135354,2331480,2331600
2324100,103,5,21,4600, 19,16105131,399214.79,137753.75,2311080,2318400
2318940,104,6,25,10600, 83,16105059,399823,137251,2306520,2312820
2315640,102,6,8,4702, 18,16105120,398272,137126,2307600,2309400
2313720,107,6,26,6500, 89,16105112,399950,135233,2306400,2307600
2312160,102,2,8,5800, 129,16105087,398009,137138,2305800,2309400
2306940,104,6,25,8302, 83,16105002,400233,136927,2300880,2303340
2303940,102,2,8,5900, 143,16105019,398476,136882,2275200,2275260
2302680,105,6,9,10500, 128,16104994,398621,135524,2282400,2298600
2298480,103,6,0,6202, 130,16104915,399272,136594,2244600,2245200
2297820,107,6,26,6700, 88,16104946,400638,135286,2284200,2291400
2296680,103,6,0,6202, 130,16104914,399272,136594,2244600,2245200
2296680,107,6,26,8200, 85,16104928,400332,135958,2288340,2296680
2295060,101,2,8,5800, 129,16104922,397328,136474,2277900,2284200
2293020,101,2,8,10100, 129,16104901,397564,137252,2244360,2293020
2289000,104,6,25,8301, 84,16104851,399950,136696,2232000,2244600
2287200,107,6,26,6600, 89,16104794,400437,135275,2271660,2271900
2287020,104,6,25,8301, 84,16104844,399950,136696,2242800,2271600
2268780,105,6,9,7200, 128,16104752,399210.55,134299.54,2260380,2260500
2264400,105,6,9,7200, 128,16104734,399210.55,134299.54,2254440,2254560
2259900,108,6,26,6801, 87,16104729,401668,135588,2254860,2255040
2256420,101,2,8,10100, 129,16104677,397329.19,137185.6,2251380,2253240
2239200,105,6,0,10200, 142,16104531,398185,135525,2232540,2239200
2238300,104,6,25,8302, 83,16104476,400233,136927,2227800,2228400
2237580,101,2,8,5800, 129,16104534,397834,136610,2234400,2237580
2237040,102,6,8,4701, 1,16104520,398477,137319,1111800,2209500
2231520,101,2,8,5800, 129,16104493,397328,136474,2199600,2219400
2225820,105,6,9,11000, 127,16104441,398476,134023,2221200,2225100
2225700,103,6,0,6202, 130,16104432,399272,136594,2111400,2221200
2224140,101,2,8,5800, 129,16104403,397700,136611,2217900,2218200
2220480,102,6,8,4701, 1,16104394,398508,137407,752400,2217600
2220300,101,2,8,5800, 129,16104365,397497,136718,2209800,2216040
2219160,102,6,8,4701, 1,16104392,398508,137407,1378800,2188800
2210220,107,6,26,6900, 91,16104321,400790,134998,1755000,2206800
2208540,101,2,8,5800, 129,16104266,397329,136718,2200920,
2203680,103,6,8,4701, 1,16104267,399058,137651,2140200,2201400
2202720,101,2,8,10100, 129,16104249,397497,137320,2145600,2202720
