REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
568860,102,2,8,5800, 129,16400914,398054,136595,1433220,480000
563280,102,2,8,5800, 129,16071556,398185,136884,556200,560400
560100,101,2,8,5800, 129,16071575,397654,136801,480600,507600
555900,106,6,27,7200, 131,16071532,399953,134056,399600,547200
551460,104,6,25,8302, 83,16071502,400233,136927,393600,394020
547260,106,6,27,7200, 131,16071490,399622,134352,544860,545100
528660,101,2,8,5800, 129,16071414,397833,136884,516480,516720
525540,104,6,25,8402, 82,16071403,400734,136696,521100,521280
508140,103,6,8,4702, 1,16071245,399078,136928,500400,500940
506640,101,2,8,5800, 129,16071220,397835,136718,501660,503820
503700,104,6,25,10600, 83,16071229,399692,136918,498000,498300
502560,104,6,25,10600, 83,16071144,399950,136990,482100,482340
500640,104,6,25,10600, 83,16071106,399756,137184,478800,487800
499020,103,6,8,4702, 1,16071174,398977,137051,485100,489000
496080,103,6,0,6202, 130,16071061,399272,136594,486960,496080
494040,101,2,8,5800, 129,16071093,397228,136778,486180,486900
493620,107,6,26,7000, 90,16071099,400436,135043,490800,490920
489240,106,6,27,7200, 131,16071031,399352,134192,473400,477000
473100,107,6,26,7000, 90,16070861,400436,135043,462780,462900
471720,106,6,26,7000, 90,16070856,400686,134825,462480,462900
470520,108,6,25,8001, 81,16400909,401364,136609,247800,337800
469320,104,6,25,8402, 82,16070257,400930,136855,331200,379800
462780,106,6,27,7200, 131,16070831,399622,134352,415800,453600
444000,101,2,8,10100, 129,16070794,397745,137126,440040,441360
440760,102,2,8,5800, 143,16070744,398185,136475,425880,427680
438180,108,6,26,6900, 87,16070695,401418,135377,2238900,426540
435120,102,2,8,5900, 143,16070749,398508,136963,432540,435060
433380,105,6,9,6400, 127,16070738,398943,134157,431100,432000
426600,107,6,25,8100, 85,16070685,400541,136105,421800,422700
423420,106,6,27,7200, 131,16070634,399490,134352,413700,413760
420300,108,6,26,6801, 87,16070622,401897,135367,367200,412200
416760,101,2,8,5800, 129,16070449,397745,136664,397320,399600
415620,101,2,8,5800, 129,16070583,397497,136718,407400,408600
412200,107,6,26,8100, 85,16070439,400686,136018,381600,400140
400920,107,6,26,7000, 90,16070423,400686,134987,1778400,1958400
389940,105,6,9,6400, 127,16070236,399043,134090,376500,380400
385860,107,6,25,8100, 85,16400880,400637,136259,2563200,2566800
381900,108,6,26,6802, 91,16070252,401542,135070,214200,216000
381780,107,6,25,8100, 85,16400895,400489,136192,903600,911700
381480,104,6,25,8410, 82,16070250,400735,136989,340200,372600
379680,105,6,9,11000, 127,16400893,398556,134091,154500,198000
368040,106,6,27,7200, 131,16069680,400041,134352,295200,303000
358740,106,6,26,7100, 91,16070148,400846,134715,350940,
344820,102,2,8,5800, 129,16070075,397964,137002,330300,341400
344400,102,2,8,5800, 129,16070070,398009,137138,316800,340200
341280,101,2,8,10100, 129,16070061,397497,137320,328500,334800
339360,104,6,25,8301, 84,16070031,399950,136400,313200,334800
338640,103,6,8,4702, 1,16069986,399078,136928,327000,327420
335580,102,6,8,4702, 18,16069832,398186,137185,319500,320040
332160,103,6,8,4701, 1,16069965,399058,137651,327600,328680
325260,107,6,26,6700, 88,16069874,400846,135618,1692000,324600
324120,106,6,27,7200, 131,16069837,399949,134556,723600,316800
315660,102,6,8,4702, 18,16069728,398186,137185,312000,312300
315120,106,6,27,7200, 131,16069730,399622,134352,2455140,2455740
292860,107,6,25,8100, 85,16069544,400541,136259,244800,289800
