REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
6/27/2016 2:15:21 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,400 - 599 BLOCK OF BRANDYWINE STREET SE,7,706,8,8E,Cluster 39,009802 2,009802,Precinct 125,16105296,400040,129143,6/27/2016 1:18:25 AM,6/27/2016 2:15:20 AM
6/1/2016 11:06:42 PM,MIDNIGHT,THEFT F/AUTO,OTHERS,1800 - 1899 BLOCK OF 18TH STREET SE,7,701,8,8A,Cluster 34,007605 3,007605,Precinct 112,16088644,401821,133325,6/1/2016 7:08:36 PM,6/1/2016 8:08:13 PM
6/1/2016 9:02:38 PM,EVENING,THEFT/OTHER,OTHERS,3400 - 3683 BLOCK OF 22ND STREET SE,7,704,8,8B,Cluster 38,007409 2,007409,Precinct 116,16088672,402363,130873,6/1/2016 6:30:24 PM,6/1/2016 6:45:32 PM
6/2/2016 2:40:22 AM,MIDNIGHT,THEFT/OTHER,OTHERS,2301 - 2399 BLOCK OF GOOD HOPE COURT SE,7,702,8,8B,Cluster 36,007502 1,007502,Precinct 134,16088764,402335,132676,6/1/2016 2:00:52 PM,6/1/2016 8:00:02 PM
6/2/2016 11:20:44 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,4680 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,7,708,8,8D,,010900 2,010900,Precinct 126,16088993,399037,128205,6/2/2016 10:49:37 AM,
6/14/2016 5:32:17 PM,EVENING,THEFT F/AUTO,OTHERS,1500 1699  BLOCK OF ALABAMA AVENUE SE,7,704,8,8E,Cluster 38,007304 1,007304,Precinct 120,16096908,401601,130970,6/14/2016 10:42:49 AM,6/14/2016 10:45:15 AM
6/15/2016 9:35:40 AM,DAY,THEFT/OTHER,OTHERS,3200 - 3398 BLOCK OF 6TH STREET SE,7,705,8,8C,Cluster 39,009804 2,009804,Precinct 122,16097026,400134,130521,6/14/2016 1:00:42 PM,6/14/2016 3:30:44 PM
6/15/2016 11:02:03 AM,DAY,THEFT/OTHER,OTHERS,3000 - 3199 BLOCK OF NAYLOR ROAD SE,7,702,8,8B,Cluster 36,007502 2,007502,Precinct 115,16097187,403121,131703,6/14/2016 8:36:40 PM,6/14/2016 9:35:49 PM
6/15/2016 2:48:56 AM,MIDNIGHT,ROBBERY,OTHERS,3900 - 3919 BLOCK OF 1ST STREET SE,7,707,8,8C,Cluster 39,009803 2,009803,Precinct 124,16097352,399489,129417,6/15/2016 1:00:52 AM,6/15/2016 1:04:45 AM
6/15/2016 4:51:50 AM,MIDNIGHT,BURGLARY,OTHERS,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,7,702,8,8B,Cluster 38,,,Precinct 116,16097373,402901,131166,6/15/2016 3:14:42 AM,6/15/2016 3:17:43 AM
6/25/2016 6:50:19 PM,EVENING,ROBBERY,OTHERS,400 443  BLOCK OF CONDON TERRACE SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16104439,400009,129316,6/25/2016 4:39:45 PM,6/25/2016 6:50:18 PM
6/24/2016 7:30:38 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,1100 - 1237 BLOCK OF SUMNER ROAD SE,7,703,8,8C,Cluster 37,007401 1,007401,Precinct 119,16103826,400211,132550,6/23/2016 8:20:50 PM,6/23/2016 8:30:06 PM
6/25/2016 1:51:08 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,800 899  BLOCK OF CHESAPEAKE STREET SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16103991,400660,129046,6/24/2016 10:38:52 PM,6/24/2016 10:39:08 PM
6/25/2016 4:48:08 AM,MIDNIGHT,THEFT/OTHER,OTHERS,4200 - 4232 BLOCK OF 4TH STREET SE,7,708,8,8D,Cluster 39,009811 1,009811,Precinct 125,16104151,399950,128916,6/25/2016 4:24:19 AM,6/25/2016 4:48:07 AM
6/24/2016 4:21:49 AM,MIDNIGHT,THEFT/OTHER,OTHERS,3000 - 3199 BLOCK OF NAYLOR ROAD SE,7,702,8,8B,Cluster 36,007502 2,007502,Precinct 115,16103288,403121,131703,6/23/2016 10:08:30 PM,6/23/2016 10:10:16 PM
6/24/2016 3:06:41 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,3033 3097  BLOCK OF STANTON ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16103339,401535,131621,6/23/2016 11:44:12 PM,6/23/2016 11:50:33 PM
6/24/2016 9:48:59 AM,DAY,THEFT F/AUTO,OTHERS,3200 - 3299 BLOCK OF 8TH STREET SE,7,705,8,8C,Cluster 39,009804 1,009804,Precinct 122,16103492,400414,130573,6/23/2016 10:00:45 PM,6/24/2016 9:00:47 AM
6/24/2016 2:17:33 PM,DAY,THEFT/OTHER,OTHERS,2400 - 2499 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,703,8,8A,Cluster 37,007401 1,007401,Precinct 119,16103595,400591,132715,6/24/2016 12:50:30 PM,6/24/2016 12:51:24 PM
6/23/2016 4:58:41 PM,EVENING,THEFT F/AUTO,OTHERS,2101 2199  BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16102957,400898,133037,6/19/2016 1:00:17 PM,6/22/2016 5:22:51 PM
6/22/2016 9:42:10 PM,EVENING,THEFT/OTHER,OTHERS,1400 - 1530 BLOCK OF BRUCE STREET SE,7,704,8,8E,Cluster 38,007404 2,007404,Precinct 117,16102514,401386,131398,6/22/2016 6:46:41 PM,6/22/2016 9:42:00 PM
