REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/5/2016 4:00:17 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,839 - 853 BLOCK OF BARNABY STREET SE,7,706,8,8E,Cluster 39,009700 2,009700,Precinct 125,16070766,400600,129206,5/5/2016 12:38:26 AM,5/5/2016 12:45:35 AM
5/12/2016 9:44:43 PM,EVENING,THEFT/OTHER,OTHERS,2918 - 2999 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,707,8,8C,Cluster 39,010400 1,010400,Precinct 123,16075632,400240,130832,5/12/2016 8:30:35 PM,5/12/2016 8:34:37 PM
5/5/2016 3:25:28 PM,EVENING,BURGLARY,OTHERS,4200 - 4399 BLOCK OF 7TH STREET SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16071044,400251,128889,5/5/2016 8:00:47 AM,5/5/2016 1:00:24 PM
5/5/2016 6:00:42 PM,EVENING,THEFT/OTHER,OTHERS,2400 - 2699 BLOCK OF POMEROY ROAD SE,7,703,8,8B,Cluster 37,007406 2,007406,Precinct 118,16071156,400891,131932,5/5/2016 8:00:30 AM,5/5/2016 5:00:26 PM
5/5/2016 7:12:04 PM,EVENING,BURGLARY,OTHERS,1826 1889  BLOCK OF ALABAMA AVENUE SE,7,704,8,8E,Cluster 38,007404 1,007404,Precinct 117,16071204,401926,131230,5/5/2016 6:42:08 PM,5/5/2016 6:45:56 PM
5/6/2016 5:17:45 AM,MIDNIGHT,THEFT/OTHER,OTHERS,2814 2899  BLOCK OF 28TH STREET SE,7,702,8,8B,Cluster 36,007502 2,007502,Precinct 134,16071323,402727,131992,5/5/2016 11:10:06 PM,5/5/2016 11:26:50 PM
5/6/2016 1:54:02 AM,MIDNIGHT,ROBBERY,GUN,3200 - 3299 BLOCK OF 5TH STREET SE,7,705,8,8C,Cluster 39,009804 2,009804,Precinct 122,16071338,400042,130518,5/5/2016 11:01:49 PM,5/6/2016 12:30:52 AM
5/6/2016 9:11:39 AM,DAY,THEFT/OTHER,OTHERS,4037 4199  BLOCK OF SOUTH CAPITOL STREET,7,708,8,8D,Cluster 39,009807 1,009807,Precinct 124,16071488,399333,129102,5/5/2016 5:00:58 PM,5/6/2016 6:07:46 AM
5/6/2016 9:56:50 AM,DAY,THEFT/OTHER,OTHERS,1700 1713  BLOCK OF 22ND STREET SE,7,701,8,8A,Cluster 34,007601 3,007601,Precinct 133,16071508,402172,133482,5/5/2016 9:30:57 PM,5/5/2016 9:35:46 PM
5/8/2016 12:03:38 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2300 - 2399 BLOCK OF IRVING STREET SE,7,702,8,8B,Cluster 36,007408 1,007408,Precinct 115,16072851,402369,131690,5/8/2016 9:46:25 AM,5/17/2016 1:40:09 PM
5/8/2016 7:28:13 PM,EVENING,THEFT/OTHER,OTHERS,4686 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,7,708,8,8D,,010900 2,010900,Precinct 126,16073099,399051,127996,5/8/2016 11:30:52 AM,5/8/2016 7:00:12 PM
5/16/2016 9:05:06 PM,EVENING,THEFT/OTHER,OTHERS,1500 - 1599 BLOCK OF U STREET SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16077530,401492,133069,5/15/2016 9:46:36 PM,5/15/2016 10:23:09 PM
5/8/2016 9:34:12 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,KNIFE,100 - 199 BLOCK OF IVANHOE STREET SW,7,708,8,8D,Cluster 39,010900 1,010900,Precinct 126,16073139,399218,128170,5/8/2016 7:46:13 PM,5/8/2016 7:50:52 PM
5/9/2016 12:15:58 AM,MIDNIGHT,THEFT/OTHER,OTHERS,1909 - 1999 BLOCK OF 14TH STREET SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16073235,401280,133168,5/8/2016 11:20:00 PM,5/8/2016 11:25:34 PM
5/9/2016 12:59:49 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,98 196  BLOCK OF CHESAPEAKE STREET SW,7,708,8,8D,Cluster 39,009807 2,009807,Precinct 126,16073243,399062,128985,5/8/2016 11:35:38 PM,5/9/2016 12:03:45 AM
5/9/2016 12:06:58 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,4000 - 4399 BLOCK OF 3RD STREET SE,7,708,8,8D,Cluster 39,009810 1,009810,Precinct 125,16073349,399819,128990,5/9/2016 8:31:16 AM,5/9/2016 10:46:27 AM
5/9/2016 1:31:48 PM,DAY,THEFT/OTHER,OTHERS,225 399  BLOCK OF NEWCOMB STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16073376,399674,131191,5/4/2016 9:08:31 AM,5/9/2016 10:32:26 AM
5/9/2016 1:35:43 PM,DAY,BURGLARY,OTHERS,800 - 899 BLOCK OF H R DRIVE SE,7,706,8,8E,Cluster 39,009700 2,009700,Precinct 125,16073458,400695,129114,5/9/2016 10:30:13 AM,5/9/2016 11:03:42 AM
5/9/2016 3:59:45 PM,EVENING,THEFT/OTHER,OTHERS,151 199  BLOCK OF JOLIET STREET SW,7,708,8,8D,,010900 2,010900,Precinct 126,16073567,399226,127956,5/9/2016 2:29:44 PM,5/9/2016 2:55:19 PM
5/10/2016 12:33:49 PM,DAY,THEFT/OTHER,OTHERS,3400 - 3683 BLOCK OF 22ND STREET SE,7,704,8,8B,Cluster 38,007409 2,007409,Precinct 116,16074020,402363,130873,5/10/2016 8:30:27 AM,5/10/2016 9:00:31 AM
5/10/2016 11:31:55 AM,DAY,THEFT F/AUTO,OTHERS,1600 - 1899 BLOCK OF W STREET SE,7,701,8,8A,Cluster 28,007504 1,007504,Precinct 114,16074022,401712,132801,5/9/2016 10:00:38 PM,5/10/2016 6:00:28 AM
5/10/2016 7:20:58 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,1800 - 1916 BLOCK OF MISSISSIPPI AVENUE SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16074345,402007,130658,5/4/2016 8:00:48 AM,5/6/2016 5:00:56 PM
5/10/2016 8:43:57 PM,EVENING,THEFT/OTHER,OTHERS,2600 - 2631 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,703,8,8C,Cluster 37,007401 2,007401,Precinct 119,16074388,400393,132326,5/10/2016 7:33:46 PM,5/10/2016 8:27:50 PM
5/10/2016 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,4018 - 4025 BLOCK OF WHEELER ROAD SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16074481,400829,129589,5/10/2016 10:17:15 PM,5/10/2016 10:26:34 PM
5/11/2016 4:41:15 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,80 - 99 BLOCK OF BRANDYWINE PLACE SW,7,708,8,8D,Cluster 39,009807 1,009807,Precinct 124,16074487,398951,129162,5/10/2016 11:30:10 PM,5/10/2016 11:31:38 PM
5/11/2016 2:18:52 PM,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF FORRESTER STREET SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16074760,400135,128579,5/11/2016 12:00:46 PM,5/11/2016 1:00:42 PM
5/11/2016 3:52:29 PM,EVENING,BURGLARY,OTHERS,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,7,702,8,8B,Cluster 38,,,Precinct 116,16074808,402901,131166,5/11/2016 2:54:27 PM,5/11/2016 3:50:21 PM
4/26/2016 1:48:23 PM,DAY,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF WAHLER PLACE SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16065401,400713,129586,4/26/2016 12:51:03 PM,4/26/2016 1:00:14 PM
4/26/2016 5:14:29 PM,EVENING,THEFT/OTHER,OTHERS,4230 - 4299 BLOCK OF 4TH STREET SE,7,706,8,8D,Cluster 39,009811 1,009811,Precinct 125,16065452,400009,128664,4/26/2016 9:00:30 AM,4/26/2016 9:05:51 AM
4/26/2016 6:49:36 PM,EVENING,ROBBERY,OTHERS,400 - 599 BLOCK OF MISSISSIPPI AVENUE SE,7,705,8,8C,Cluster 39,009804 1,009804,Precinct 122,16065599,400035,129903,4/26/2016 4:40:40 PM,4/26/2016 4:45:59 PM
